 203: 2.767000, 3.811410 avg loss, 0.000002 rate, 8.156000 seconds, 12992 images
 204: 3.614700, 3.791739 avg loss, 0.000002 rate, 8.160000 seconds, 13056 images
 205: 3.737010, 3.786266 avg loss, 0.000002 rate, 8.170000 seconds, 13120 images
 206: 2.915488, 3.699188 avg loss, 0.000002 rate, 8.149000 seconds, 13184 images
 207: 3.274024, 3.656672 avg loss, 0.000002 rate, 8.154000 seconds, 13248 images
 208: 2.451377, 3.536142 avg loss, 0.000002 rate, 8.153000 seconds, 13312 images
 209: 3.285444, 3.511073 avg loss, 0.000002 rate, 8.149000 seconds, 13376 images
 210: 2.861197, 3.446085 avg loss, 0.000002 rate, 8.161000 seconds, 13440 images
 211: 2.494328, 3.350909 avg loss, 0.000002 rate, 5.640000 seconds, 13504 images
 212: 3.060294, 3.321848 avg loss, 0.000002 rate, 5.651000 seconds, 13568 images
 213: 2.560109, 3.245674 avg loss, 0.000002 rate, 5.637000 seconds, 13632 images
 214: 2.872133, 3.208320 avg loss, 0.000002 rate, 5.642000 seconds, 13696 images
 215: 2.609313, 3.148419 avg loss, 0.000002 rate, 5.645000 seconds, 13760 images
 216: 3.432425, 3.176820 avg loss, 0.000002 rate, 5.640000 seconds, 13824 images
 217: 3.050645, 3.164202 avg loss, 0.000002 rate, 5.647000 seconds, 13888 images
 218: 3.324429, 3.180225 avg loss, 0.000002 rate, 5.638000 seconds, 13952 images
 219: 3.299844, 3.192187 avg loss, 0.000002 rate, 5.657000 seconds, 14016 images
 220: 2.526791, 3.125647 avg loss, 0.000002 rate, 5.637000 seconds, 14080 images
 221: 3.372184, 3.150301 avg loss, 0.000002 rate, 12.139000 seconds, 14144 images
 222: 3.169271, 3.152198 avg loss, 0.000002 rate, 12.124000 seconds, 14208 images
 223: 4.205580, 3.257536 avg loss, 0.000002 rate, 12.155000 seconds, 14272 images
 224: 3.240871, 3.255870 avg loss, 0.000003 rate, 12.155000 seconds, 14336 images
 225: 3.403178, 3.270600 avg loss, 0.000003 rate, 12.155000 seconds, 14400 images
 226: 3.174678, 3.261008 avg loss, 0.000003 rate, 12.139000 seconds, 14464 images
 227: 2.834561, 3.218363 avg loss, 0.000003 rate, 12.125000 seconds, 14528 images
 228: 3.320963, 3.228623 avg loss, 0.000003 rate, 12.124000 seconds, 14592 images
 229: 3.525354, 3.258296 avg loss, 0.000003 rate, 12.202000 seconds, 14656 images
 230: 3.577630, 3.290230 avg loss, 0.000003 rate, 12.187000 seconds, 14720 images
 231: 3.054539, 3.266661 avg loss, 0.000003 rate, 9.077000 seconds, 14784 images
 232: 2.803470, 3.220342 avg loss, 0.000003 rate, 9.078000 seconds, 14848 images
 233: 3.262464, 3.224554 avg loss, 0.000003 rate, 9.078000 seconds, 14912 images
 234: 2.728827, 3.174981 avg loss, 0.000003 rate, 9.062000 seconds, 14976 images
 235: 2.175167, 3.075000 avg loss, 0.000003 rate, 9.062000 seconds, 15040 images
 236: 2.031140, 2.970614 avg loss, 0.000003 rate, 9.078000 seconds, 15104 images
 237: 2.572254, 2.930778 avg loss, 0.000003 rate, 9.062000 seconds, 15168 images
 238: 2.750424, 2.912743 avg loss, 0.000003 rate, 9.046000 seconds, 15232 images
 239: 2.549306, 2.876399 avg loss, 0.000003 rate, 9.062000 seconds, 15296 images
 240: 2.557528, 2.844512 avg loss, 0.000003 rate, 9.077000 seconds, 15360 images
 241: 2.752610, 2.835322 avg loss, 0.000003 rate, 5.640000 seconds, 15424 images
